question,subject
Why cache coherency occurs in multiprocessor system and how can this problem be removed.,Computer Archictecture 7th sem com
Write short notes on: (Any two) I/O processor Flynn’s classification Virtual memory,Computer Archictecture 7th sem com
An alternative to a LAN is simply a big timesharing system with terminals for all users. Give two advantages of a client-server system using a LAN.,Computer Network
"Reliability, performance and security are the three essential criteria for a network and an effective and efficient network cannot be designed by ignoring any one of them. Justify your answer.",Computer Network
Define network topology? In what aspects does client server network model varies from peer to peer network model. Justify your answer,Computer Network
List the three reasons for using layered protocols. Mention two advantages and two disadvantages of having international standards for network protocols.,Computer Network
How is hub different than repeater and switch? How does frame relay overcome the limitations of X.25?,Computer Network
"You have read that the sliding window protocol can be used to implement flow control. You can imagine doing this by having the receiver delay ACKs, that is, not send the ACK until there is free buffer space to hold the next frame. In doing so, each ACK would simultaneously acknowledge the receipt of the last frame and tell the source that there is now free buffer space available to hold the next frame. Explain why implementing flow control in this way is not a good idea.",Computer Network
"A large number of consecutive IP addresses are available starting at 192.16.0.0. Let four organizations A, B, C, D request 4000, 2000, 4000 and 8000 addresses respectively. For each of the organizations, give the first IP address assigned and the last IP address assigned and mask in CIDR notation.",Computer Network
What is choke packet? Explain leaky bucket algorithm with a suitable diagram.,Computer Network
Explain DHCP. Explain the symmetric key cryptography for ensuring data security.,Computer Network
What are plain texts and cipher texts? Describe the symmetric key cryptography technique.,Computer Network
What are sockets? Describe the three-tier architecture for distributed processing in Client/Server computation.,Computer Network
Write short notes on: (Any two) Types of Network Attacks Distance vector routing Frame format,Computer Network
Differentiate between computer organization and architecture with example.,Computer Architecture  5th sem
Define RTL .Explain all micro operations with RTL code,Computer Architecture  5th sem
Draw internal CPU structure and explain each part.  What is normalization in floating point operation? How do you normalize the floating point after floating point operation?,Computer Architecture  5th sem
Explain Booth algorithm and use it to multiply (-5)10 * (-7)10 Differentiate between hardwired and micro programmed control unit. Which one is preferable and why? Illustrate.,Computer Architecture  5th sem
What are the various microinstruction sequencing techniques used in control unit?,Computer Architecture  5th sem
Explain operation of magnetic disk with necessary diagram.,Computer Architecture  5th sem
Define Cache memory. What is cache coherence? Explain associative mapping technique.,Computer Architecture  5th sem
Differentiate between programmed I/O and interrupt driven I/O.,Computer Architecture  5th sem
What is pipelining? Explain major hurdles of pipelining.,Computer Architecture  5th sem
Why cache coherency occurs in multiprocessor system and how can this problem be removed. Explain,Computer Architecture  5th sem
Write short notes on: (Any two) Dual core and Quad core Processor Cache coherence RAID,Computer Architecture  5th sem
Discuss the concept of the computer graphics in IT field.,Computer Graphics
Explain the need for machine independent Graphical Language.,Computer Graphics
Compare raster scan display system with vector scan display system along with their architectures.  What is flat panel display? Explain the working principles of LCD monitor with figure,Computer Graphics
Rasterize the circle of 10 unit radius Explain boundary fill technique with its algorithm.,Computer Graphics
Derive equations for Bresenham’s line drawing algorithm for line with slope |m| > 1.,Computer Graphics
"Perform a 45 degree rotation of a line A (5,3) and B (10,15) about the origin.",Computer Graphics
What is clipping? Explain in detail about Sutherland-Hodgeman polygon clipping algorithm.,Computer Graphics
Derive a transformation matrix due to orthographic and oblique parallel projection.,Computer Graphics
Derive an matrix for cubic Bezier curve formation.,Computer Graphics
Compare object space method with image space method Explain scan line algorithm for detecting visible surfaces with suitable figure.,Computer Graphics
